77,77,270000,8910000,3,3,1506,35.0145,House for sale,4679 Vintage Ln Birmingham AL 35244,https://www.zillow.com/homedetails/4679-Vintage-Ln-Birmingham-AL-35244/174764464_zpid/
78,78,260000,8580000,4,3,2404,55.893,House for sale,206 Clifton St Camden AL 36726,https://www.zillow.com/homedetails/206-Clifton-St-Camden-AL-36726/125348232_zpid/
79,79,89000,2937000,3,2,1556,36.177,House for sale,670 Leslie Ave Mobile AL 36617,https://www.zillow.com/homedetails/670-Leslie-Ave-Mobile-AL-36617/51015596_zpid/
80,80,365000,12045000,3,2,1820,42.315,House for sale,114 Lockridge Ln Riverside AL 35135,https://www.zillow.com/homedetails/114-Lockridge-Ln-Riverside-AL-35135/2070056729_zpid/
81,81,149900,4946700,5,4,2100,48.825,House for sale,1710 N Gulf Field Dr Mobile AL 36605,https://www.zillow.com/homedetails/1710-N-Gulf-Field-Dr-Mobile-AL-36605/51028458_zpid/
82,82,225000,7425000,3,2,1412,32.829,House for sale,119 Copeland Dr Madison AL 35756,https://www.zillow.com/homedetails/119-Copeland-Dr-Madison-AL-35756/113198110_zpid/
83,83,225000,7425000,3,2,1534,35.6655,House for sale,1847 County Road 664 Henagar AL 35978,https://www.zillow.com/homedetails/1847-County-Road-664-Henagar-AL-35978/111766995_zpid/
84,84,349000,11517000,3,2,2010,46.7325,House for sale,25589 Millbrook Dr Madison AL 35756,https://www.zillow.com/homedetails/25589-Millbrook-Dr-Madison-AL-35756/331511698_zpid/
85,85,250000,8250000,4,2,1950,45.3375,House for sale,182 Lee Road 997 Phenix City AL 36870,https://www.zillow.com/homedetails/182-Lee-Road-997-Phenix-City-AL-36870/76036156_zpid/
86,86,421000,13893000,4,4,2900,67.425,House for sale,104 Rolling Rock Trl Chelsea AL 35043,https://www.zillow.com/homedetails/104-Rolling-Rock-Trl-Chelsea-AL-35043/104059825_zpid/
87,87,415000,13695000,3,3,2080,48.36,House for sale,3263 Zimlich Ave Mobile AL 36608,https://www.zillow.com/homedetails/3263-Zimlich-Ave-Mobile-AL-36608/50993855_zpid/
88,88,295000,9735000,4,3,0,0.0,House for sale,2704 Dobbs Rd Alexander City AL 35010,https://www.zillow.com/homedetails/2704-Dobbs-Rd-Alexander-City-AL-35010/104563717_zpid/
89,89,175750,5799750,5,4,3900,90.675,House for sale,15390 County Road 32 Andalusia AL 36420,https://www.zillow.com/homedetails/15390-County-Road-32-Andalusia-AL-36420/122570517_zpid/
90,90,70000,2310000,2,1,1019,23.69175,House for sale,2902 Barbara Dr NW Huntsville AL 35816,https://www.zillow.com/homedetails/2902-Barbara-Dr-NW-Huntsville-AL-35816/92095129_zpid/
91,91,319500,10543500,3,1,1743,40.52475,House for sale,552 55th St S Birmingham AL 35212,https://www.zillow.com/homedetails/552-55th-St-S-Birmingham-AL-35212/957215_zpid/
92,92,695000,22935000,4,4,2345,54.52125,House for sale,153 Fels Ave Fairhope AL 36532,https://www.zillow.com/homedetails/153-Fels-Ave-Fairhope-AL-36532/72743662_zpid/
93,93,225000,7425000,4,3,2218,51.5685,House for sale,211 Hummingbird Dr Deatsville AL 36022,https://www.zillow.com/homedetails/211-Hummingbird-Dr-Deatsville-AL-36022/66699879_zpid/
94,94,199900,6596700,3,2,1866,43.3845,Coming soon,902 4th Ave NE Jacksonville AL 36265,https://www.zillow.com/homedetails/902-4th-Ave-NE-Jacksonville-AL-36265/109258263_zpid/
95,95,435000,14355000,3,2,3157,73.40025,House for sale,7058 Old Mill Trce Trussville AL 35173,https://www.zillow.com/homedetails/7058-Old-Mill-Trce-Trussville-AL-35173/883224_zpid/
96,96,297500,9817500,4,2,1900,44.175,House for sale,21907 Cotton Creek Dr Gulf Shores AL 36542,https://www.zillow.com/homedetails/21907-Cotton-Creek-Dr-Gulf-Shores-AL-36542/72763897_zpid/
97,97,199900,6596700,3,3,1944,45.198,House for sale,210 5th St Pleasant Grove AL 35127,https://www.zillow.com/homedetails/210-5th-St-Pleasant-Grove-AL-35127/1019735_zpid/
98,98,174900,5771700,3,2,1561,36.29325,House for sale,8471 Lake Eleanor Dr Theodore AL 36582,https://www.zillow.com/homedetails/8471-Lake-Eleanor-Dr-Theodore-AL-36582/51053153_zpid/
99,99,545000,17985000,4,4,2850,66.2625,House for sale,2008 Eagle Crest Ct Birmingham AL 35242,https://www.zillow.com/homedetails/2008-Eagle-Crest-Ct-Birmingham-AL-35242/50891699_zpid/
100,100,389000,12837000,3,2,1629,37.87425,Coming soon,207 Hagood St Birmingham AL 35213,https://www.zillow.com/homedetails/207-Hagood-St-Birmingham-AL-35213/966542_zpid/
